date,product,region,units,revenue,customer
2025-01-05,Widget A,North,12,600.00,Acme Corp
2025-01-07,Widget B,South,8,320.00,Beta Inc
2025-01-10,Widget C,East,5,750.00,Gamma LLC
2025-01-14,Widget A,West,20,1000.00,Delta Co
2025-01-18,Widget B,North,15,600.00,Acme Corp
2025-01-22,Widget C,South,3,450.00,Epsilon Ltd
2025-01-25,Widget A,East,9,450.00,Zeta Group
2025-02-02,Widget B,West,11,440.00,Beta Inc
2025-02-06,Widget A,North,18,900.00,Acme Corp
2025-02-10,Widget C,East,7,1050.00,Gamma LLC
2025-02-14,Widget B,South,6,240.00,Eta Partners
2025-02-18,Widget A,West,25,1250.00,Delta Co
2025-02-21,Widget C,North,4,600.00,Theta Inc
2025-02-27,Widget B,East,14,560.00,Zeta Group
2025-03-03,Widget A,South,10,500.00,Epsilon Ltd
2025-03-07,Widget C,West,6,900.00,Acme Corp
2025-03-11,Widget B,North,9,360.00,Beta Inc
2025-03-15,Widget A,East,16,800.00,Gamma LLC
2025-03-19,Widget C,South,5,750.00,Eta Partners
2025-03-23,Widget B,West,13,520.00,Delta Co
2025-03-27,Widget A,North,22,1100.00,Acme Corp
2025-04-01,Widget C,East,8,1200.00,Theta Inc
2025-04-05,Widget B,South,10,400.00,Epsilon Ltd
2025-04-09,Widget A,West,30,1500.00,Delta Co
2025-04-13,Widget C,North,6,900.00,Zeta Group
2025-04-17,Widget B,East,12,480.00,Gamma LLC
2025-04-21,Widget A,South,14,700.00,Acme Corp
2025-04-25,Widget C,West,9,1350.00,Beta Inc
2025-04-29,Widget B,North,7,280.00,Eta Partners
2025-05-03,Widget A,East,19,950.00,Delta Co
